"","name","caption"
"188","screens/vlcsnap-2022-12-17-17h55m44s544.png","bathroom in the Kosmos Hotel Moscow"
"189","screens/vlcsnap-2022-12-17-17h55m53s338.png","petrol queue Kyiv suburb"
"190","screens/vlcsnap-2022-12-17-17h56m06s038.png","in 1988 the KGB buried one of their heroes"
"191","screens/vlcsnap-2022-12-17-17h56m08s600.png","the British spy Kim Philby"
"192","screens/vlcsnap-2022-12-17-17h56m11s521.png","at the same time the Soviet army began its retreat from Afghstanistan"
"193","screens/vlcsnap-2022-12-17-17h56m15s151.png","it had been defeated by the Mjahedin"
"194","screens/vlcsnap-2022-12-17-17h56m18s373.png","Rufina Pukhova Kim Philby's widow"
"195","screens/vlcsnap-2022-12-17-17h56m32s297.png","the Togliatti plant was in chais"
"196","screens/vlcsnap-2022-12-17-17h56m36s017.png","gangsters were killing each other on the factory floor to get hold of cars"
"197","screens/vlcsnap-2022-12-17-17h56m39s437.png","Boris Berezovsky had been trained in economic planning"
"198","screens/vlcsnap-2022-12-17-17h56m41s561.png","and game theory"
"199","screens/vlcsnap-2022-12-17-17h56m43s421.png","he offered to help the managers restore order"
"200","screens/vlcsnap-2022-12-17-17h56m45s519.png","the looting would be organised on rational scientific principles"
"201","screens/vlcsnap-2022-12-17-17h56m47s781.png","each month Berezovsky took tens of thousands of cars"
"202","screens/vlcsnap-2022-12-17-17h56m50s041.png","and set up a shadow-system to distribute them across Russia"
"203","screens/vlcsnap-2022-12-17-17h56m53s729.png","Berezovsky would become the second oligarch"
"204","screens/vlcsnap-2022-12-17-17h57m11s508.png","the Soviet Phobos 2 rocket had been sent to explore the moons of Mars"
"205","screens/vlcsnap-2022-12-17-17h57m14s774.png","it enetered orbit around Mar in January 1989"
"206","screens/vlcsnap-2022-12-17-17h57m17s040.png","Phobos moon"
"207","screens/vlcsnap-2022-12-17-17h57m19s148.png","Tblisi capital of Georgia"
"208","screens/vlcsnap-2022-12-17-17h57m22s194.png","Perestroika had also given power away to the countries that made up the Soviet empire"
"209","screens/vlcsnap-2022-12-17-17h57m25s079.png","it opened the way for a return of old nationalisms and demands for independence"
"210","screens/vlcsnap-2022-12-17-17h57m27s738.png","in April 1989 there was a nationalist demonstration in Tiblisi"
"211","screens/vlcsnap-2022-12-17-17h57m34s981.png","Gorbachev panicked and ordered Russian troops to suppress it"
"212","screens/vlcsnap-2022-12-17-17h57m37s138.png","the patriarch of Georgia came to warn the crowd"
"213","screens/vlcsnap-2022-12-17-17h57m59s190.png","the Russian troops attacked the Georgian demonstration"
"214","screens/vlcsnap-2022-12-17-17h58m00s909.png","beating and spraying gas into the mouths of protestors"
